Gene name,RNAseq1,RNAseq2,RNAseq3,RNAseq4,RNAseq5,RNAseq6,RNAseq7,RNAseq8,RNAseq9,RNAseq10,RNAseq11,RNAseq12,RNAseq13,RNAseq14,RNAseq15,RNAseq16
YAL025C,0.029934664,0.454620572,1.02569803,1.723668077,1.415663991,0.295893835,0.397771011,0.324994722,-0.095986285,-0.033855152,-0.40576875,-1.603047868,-2.217133622,-0.592920255,-0.627128468,-0.092404503
YAL026C,0.083732598,0.568251482,0.572553176,0.550998123,-0.203408859,0.74915577,1.030977608,1.344089782,0.387760929,0.761475785,-0.390556352,-1.323934355,-1.75462545,-1.115010183,-1.816778524,0.55531847
YAL027W,0.094873581,0.067630302,-1.152629959,-3.096917072,-1.010879773,0.210736027,0.537662921,0.702266012,0.116417904,0.546423662,0.089452974,0.515600702,0.698201836,0.415690999,0.339940025,0.925529859
YAL028W,1.059954004,0.947488424,0.263319286,-1.84115003,-2.110592514,-0.749025798,-0.365703963,-0.322491253,-0.519949752,-0.161598422,-0.395253655,0.567956412,0.812644145,0.746889895,0.773554671,1.29395855
YAL029C,-0.335490949,0.446976762,0.965198009,2.465543538,0.116273555,-0.256182076,0.51206925,0.731087291,0.249494637,0.641024002,-0.268684397,-1.418687657,-1.361819175,-0.897771674,-1.194648295,-0.39438282
YAL030W,0.836354371,0.733624205,-0.027132647,-1.359262974,-2.46185592,-0.509849562,-0.524466131,-0.27000538,-0.591599049,-0.20021516,0.034781674,0.523844298,0.733624205,0.66611893,0.625316178,1.790722961
YAL030W,0.836354371,0.733624205,-0.027132647,-1.359262974,-2.46185592,-0.509849562,-0.524466131,-0.27000538,-0.591599049,-0.20021516,0.034781674,0.523844298,0.733624205,0.66611893,0.625316178,1.790722961
YAL031C,0.551632775,0.148676818,-0.57360747,-2.608267038,-0.74861154,0.714311102,0.756089872,0.927140914,0.400512717,0.982637787,0.966856543,-0.150164858,-0.736713994,-0.64273282,-0.993959365,1.006198555
YAL032C,-0.666499345,0.114582871,-0.014940712,-2.020047062,-0.584477507,-0.766678455,-0.424245101,-0.330441195,-1.169797643,0.014124625,0.903766592,0.511105567,1.358762695,0.903766592,0.142929576,2.028088502
YAL033W,-0.99612086,-0.953223765,-0.411531753,0.302926237,2.081088344,1.254238107,0.94152105,1.081227304,0.357413749,0.476360417,-0.593496589,-0.537687449,-1.106251044,-0.99612086,-1.24423129,0.343888401
YAL034C,1.399670891,1.132596204,0.131346374,-1.134730377,-1.622529976,-0.884602018,-0.718494806,-0.555873822,-0.941329707,-0.52304496,-0.574882694,0.484178313,0.787918341,0.657271635,0.613454411,1.749052191
YAL034W-A,-0.638918312,-0.770212761,-1.439465535,-1.276232803,0.201705365,0.984591454,1.348368158,1.547494672,1.001601079,1.138042918,0.526423557,0.133470366,-0.42214993,-0.72992131,-1.293732308,-0.311064611
YAL035W,-0.429673216,-0.026661893,0.299758717,1.743144948,1.384881242,0.490453025,0.756147724,0.99606002,0.011603343,0.318830524,-0.350394084,-1.789310288,-1.565892548,-0.754967362,-1.223249487,0.139269333
YAL036C,0.112530976,0.505368086,0.854683793,1.66271388,1.32439961,0.095136844,0.294987534,0.286505081,-0.056951364,0.08760294,-0.47261436,-1.923573358,-2.239834606,-0.394244129,-0.375439273,0.238728345
YAL037W,-0.009439461,-0.188048789,-1.179327673,-1.449086567,-0.322599006,1.415249835,1.460694263,1.549532917,0.469370289,0.490339752,-0.322599006,0.273610451,-1.409004234,-1.179327673,-0.406380791,0.807015693
YAL038W,1.504303281,1.327564818,1.00652206,0.802614981,-0.420847528,-1.324701568,-0.857729771,-0.256069694,-0.23708164,0.204861402,-0.086091879,-0.799518155,-1.41962659,-1.197993108,0.224628676,1.529164714
YAL039C,-1.603026116,-0.262221178,0.923249952,0.345457516,-0.875779272,0.923249952,-0.277172047,-0.867267323,-1.417416259,0.286163218,-0.129790263,1.46272348,1.076714802,-0.390867801,-0.833374993,1.639356333
YAL040C,-0.548134794,-0.354005209,0.610213696,1.520560757,1.85611418,1.182373974,0.327423017,0.164436434,-0.328397061,0.231925278,0.216237947,-1.726210172,-1.555944216,-1.070698114,-0.359164207,-0.16673151
YAL041W,0.332246535,1.059908267,0.787657486,-0.027831916,-0.206706148,0.499701728,0.642555495,0.994716137,0.116485664,0.892260045,0.318604328,-0.897338338,-1.844405768,-1.537989964,-1.854950666,0.725087115
YAL042W,-1.339348349,-0.721746738,-0.797247889,-1.048208613,-0.896381242,0.186087098,1.109881761,1.722439485,-0.050045247,1.392952489,0.261535493,0.25778543,-0.403690857,-0.424660149,-0.891839615,1.642486943
YAL043C,0.230152575,0.864961403,0.85780702,-0.118624121,-0.022450793,0.262818863,0.991891731,0.970975991,0.012033638,0.792917015,0.088700475,-2.201242498,-1.703372355,-0.854103329,-1.164357346,0.991891731
YAL044C,-0.554289789,-0.41870013,-0.333023246,0.17810847,0.991418432,1.845917601,1.187586237,0.273932753,-0.685613336,0.888662622,-0.64417558,-0.37177202,-0.782342923,-1.638322289,-1.270234662,1.332847859
YAL045C,0.303143705,-0.290061546,-1.192095789,-1.238750592,-1.871793914,-0.100710001,-0.13799841,0.187785018,-0.113107911,0.199444095,-0.447004406,0.526006198,0.526006198,0.438075973,0.569385537,2.641675848
YAL046C,-0.996406382,-0.748093062,-0.869323635,-1.523146736,-1.05491814,0.371619788,0.762704434,0.899983536,0.570429977,1.392912055,1.30988241,1.186534079,0.497623879,-1.114759748,-0.897038927,0.211996473
YAL047C,0.324856232,0.691289055,0.324856232,-0.392456667,0.281915411,0.639142762,1.256555262,1.096634366,0.165022368,0.80611216,0.519180646,-0.98358307,-2.274345851,-1.167499268,-1.540700963,0.253021325
YAL048C,1.482606232,1.162232243,-0.23429783,-0.955535718,-2.037709582,-0.014605325,0.483070692,1.247214396,-0.250352682,0.412815804,-0.703794016,-1.011110431,-0.029992238,-0.282612506,-0.739016398,1.471087359
YAL049C,0.875906636,0.708113999,-0.008045879,-1.367306944,-2.254709257,-0.655447326,-0.364040478,-0.442350238,-0.727681649,0.026030466,-0.415909134,0.654630707,0.749906489,0.640646504,0.748428655,1.83182745
YAL051W,0.987940456,1.122377083,-0.652139114,-1.628341128,-0.674826022,0.939571771,0.647193442,1.051677534,-0.261230031,0.326486266,-0.463541376,-1.306130195,-1.065653273,-0.573575023,-0.240425407,1.790615016
YAL053W,-0.00065631,0.030674819,0.853672351,1.976097755,-0.442950832,-0.611907156,0.384657214,0.690101263,0.110971684,0.742439172,0.087277729,-0.848463828,-2.246190012,-1.361366955,-0.306179059,0.941822165
YAL054C,0.851256813,0.686566663,0.354248063,-0.678017552,-1.421596687,-1.203221936,-1.161768531,-1.024004491,-0.935954038,-0.695153882,-0.208082218,1.0821695,1.228988487,1.108971359,0.950221341,1.06537711
YAL055W,0.570305137,0.695126744,0.380223609,-2.906048994,-1.373428011,-0.030092816,0.132984683,0.235279099,0.222752506,0.356727537,0.235279099,-0.146031665,-0.608778685,0.159013172,0.391877077,1.684811507
YAL056W,0.858737177,0.633389715,-0.059955709,-2.862270782,-1.80322161,0.165515096,0.006313801,0.147874508,-0.034847554,0.294274838,-0.143064918,0.570816112,0.329265309,0.268221858,0.354542802,1.274409359
YAL058W,-0.241375235,0.520523857,0.530481393,1.291141629,1.266814238,-0.144489657,0.657528888,0.780324418,-0.180522638,0.560192893,-0.108807072,-1.317479393,-1.905104664,-1.350536229,-1.284717699,0.926025271
YAL059W,0.079000145,0.4976129,0.921623609,1.762218491,2.040907618,0.224737169,0.00223956,-0.042404918,-0.473841706,-0.240820193,-0.758787282,-1.527899696,-1.708128763,-0.473841706,-0.461910761,0.159295533
YAL060W,0.103998261,-0.317795601,-0.993888672,-2.353357153,-1.810077929,0.123939491,0.072845143,0.107342072,0.1642517,0.49497117,0.368034437,1.369145267,1.307829741,0.04935372,0.343530482,0.969877873
YAL061W,0.877385596,0.724800215,0.149978873,-1.839036523,-1.161577672,-0.401883826,-0.863556067,-0.909118212,-0.909118212,-0.745477211,-0.175349318,1.296558719,1.163194425,0.678287755,0.865431008,1.24948045
YAL062W,0.256228193,0.594258391,0.63584962,0.247621337,-1.225746197,1.048932556,0.276155378,-1.156511774,-1.633432546,-1.271203359,-1.075946509,1.294487159,0.714822941,-0.507631177,0.358288027,1.443827959
YAL063C,0.052594932,-0.495939537,-1.367369932,-2.578356295,0.312493957,0.601613216,0.760009761,0.617817806,0.760009761,0.940093301,0.519309838,0.535944238,0.240408873,-0.941086658,-0.941086658,0.983543397
YAL064C-A,-0.041851504,0.319696744,0.799513564,-0.041851504,-2.466476007,0.531842095,0.531842095,0.531842095,0.531842095,0.682543762,-0.041851504,0.531842095,-0.041851504,0.319696744,-2.466476007,0.319696744
YAL064W,0.760149593,-1.422352414,-1.422352414,-1.422352414,0.92633012,0.476936797,0.760149593,0.476936797,0.476936797,0.760149593,-1.422352414,0.476936797,0.760149593,0.760149593,-1.422352414,0.476936797
YAL064W-B,0.096765641,-0.103792294,-1.297698766,-2.643017312,-0.210709267,0.973914253,0.535326588,1.227376984,0.973914253,0.191105641,-0.322598562,0.690575851,0.281886123,-0.322598562,-0.976596188,0.906145618
YAL065C,0.336292402,0.336292402,-0.790903937,-3.39396316,-0.566261224,0.219560041,0.219560041,0.727571478,0.336292402,0.336292402,0.092673591,0.444376106,0.639140807,-0.046303242,0.219560041,0.889819852
YAL066W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL067C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL068C,0.50996346,0.20078555,-0.665125994,0.362404583,0.20078555,0.20078555,1.289422454,1.376439652,0.645713936,1.289422454,0.50996346,-0.97402179,-1.83880629,-1.351924119,-1.351924119,-0.403884338
YAL069W,0.50984648,0.190207719,0.190207719,-1.953362259,0.50984648,0.830633462,0.697400637,0.190207719,0.190207719,-1.953362259,0.50984648,-1.953362259,0.830633462,0.190207719,0.190207719,0.830633462
YAL069W,0.50984648,0.190207719,0.190207719,-1.953362259,0.50984648,0.830633462,0.697400637,0.190207719,0.190207719,-1.953362259,0.50984648,-1.953362259,0.830633462,0.190207719,0.190207719,0.830633462
YAR002C-A,-0.677701294,-0.598900674,-0.842091271,-0.685443001,0.007042306,0.597996448,1.375757612,1.786650571,1.069788863,1.213518848,0.163183581,-0.001093619,-0.75607241,-1.553598504,-1.364272912,0.265235455
YAR002W,-0.403998608,-0.113592606,0.433211392,1.595178784,0.976501018,0.125593414,0.56062162,0.961557692,0.209239591,0.653688319,0.455580442,-1.759836487,-1.967439062,-1.150806344,-0.898878729,0.323379563
YAR003W,-0.421170787,-0.705224366,-0.863158995,-1.064078845,0.508017804,1.32794886,1.705790674,1.532596215,0.884761869,0.829248671,-0.093194219,-0.584479991,-1.098882714,-1.087237509,-0.97315336,0.102216692
YAR007C,-0.176393151,0.032599878,-0.400508057,-2.015990524,-0.787441221,1.356492122,1.595923908,1.476327535,0.764294173,0.68688838,-0.05440892,-0.516228111,-0.927519483,-1.002166784,-0.443717546,0.4118478
YAR008W,-1.021075897,-0.36903072,-0.405912006,-0.78993049,0.189972499,1.399417206,1.837750734,1.523772024,0.652224166,0.821505119,0.231225869,-0.391061651,-1.289414813,-1.353924725,-0.529720546,-0.505796771
YAR014C,-0.387269157,-0.26820398,-0.167008189,0.560811929,1.575048176,1.075122084,1.245106831,1.190931436,0.081146007,0.6424575,-0.32900321,-1.034744596,-1.474167957,-1.339023221,-1.499814522,0.128610868
YAR015W,-0.617692651,-0.249500521,-0.029103013,1.09075543,1.143015769,1.752458341,1.039604036,0.642493283,0.292444675,0.552682289,-0.091479152,-0.70371026,-1.467485268,-1.624744642,-1.258936272,-0.470802043
YAR018C,-0.490416887,-0.383459273,0.129591543,0.429631906,-0.887808989,-0.454208716,-0.545821199,-0.545821199,-0.976248017,-0.660803192,-0.621833487,-0.700444763,0.537148096,2.646286465,1.45771518,1.066492532
YAR019C,1.130006381,1.724418202,0.531795031,-0.415659243,-0.180743265,0.239264909,-0.267902237,0.320283616,-1.205992164,-0.037881054,0.074316597,0.837381323,-0.943104925,-1.139325455,-1.985273031,1.318415315
YAR020C,-0.044185555,0.472899601,0.766245961,-1.968767238,-1.968767238,0.140357199,-0.044185555,0.472899601,-0.697431617,0.900910482,0.312171187,-0.044185555,1.482813487,-0.697431617,-0.460141751,1.376798612
YAR023C,0.838154845,0.871233477,-0.79790237,-2.141361603,-0.473328702,0.044079174,-0.525064631,-0.134004551,0.087009911,0.522959253,-0.685799372,0.903954534,0.410152925,-0.914317236,-0.274798593,2.269032939
YAR027W,0.620908361,0.10443198,-1.144264655,-2.168013509,-1.498197871,0.211735274,0.168330158,0.392476073,-0.26694266,0.263895584,-0.809107465,0.75038416,0.58759004,0.230814326,0.536863628,2.019096578
YAR028W,-0.367611987,0.2676459,-0.091084539,2.00895565,-0.367611987,-1.400279468,-0.542770858,0.2676459,0.459592878,1.810143801,-1.327688678,-0.916809084,-0.254793577,0.01459358,-0.788369752,1.228442219
YAR029W,-0.511335041,-0.511335041,-3.191031454,-0.280078578,0.649047311,-0.511335041,0.528878209,1.137678392,0.39825607,1.051846113,0.39825607,-0.280078578,0.097048645,0.39825607,0.528878209,0.097048645
YAR030C,0.251272929,-0.445914548,-1.054785266,-2.409710153,0.251272929,-0.731296724,-0.445914548,0.445285567,0.79217171,0.445285567,-0.445914548,0.624923881,2.125793114,0.251272929,-0.445914548,0.79217171
YAR031W,0.352977658,0.060129327,-0.870658591,-2.397215397,-1.613189755,-0.460511975,0.087471953,0.44827755,-0.160664267,0.262126328,-0.052503132,1.167997503,1.366427078,0.236733234,0.1851175,1.387484987
YAR031W,0.352977658,0.060129327,-0.870658591,-2.397215397,-1.613189755,-0.460511975,0.087471953,0.44827755,-0.160664267,0.262126328,-0.052503132,1.167997503,1.366427078,0.236733234,0.1851175,1.387484987
YAR033W,-0.071926231,0.354286981,-0.945592365,-0.945592365,-0.808709854,-1.309392161,-0.016145433,0.093174963,0.17328141,1.050062556,0.404558756,1.134459411,1.513060849,-1.051360932,-1.309392161,1.735226576
YAR033W,-0.071926231,0.354286981,-0.945592365,-0.945592365,-0.808709854,-1.309392161,-0.016145433,0.093174963,0.17328141,1.050062556,0.404558756,1.134459411,1.513060849,-1.051360932,-1.309392161,1.735226576
YAR035W,-0.149206916,-0.508714214,-0.854432567,-1.657774423,-1.31163694,-0.861218173,-0.646733963,-0.270215059,-0.285732645,0.238021506,0.675933779,2.054645775,1.06361893,1.20714388,0.533023472,0.773277558
YAR042W,1.03921253,0.533295229,0.682711915,-0.123471283,-2.659677005,-0.129942892,-0.804313866,-0.281306347,-0.64264977,0.201323103,-0.382717399,-0.274622859,0.453906573,0.128339935,0.158887575,2.10102456
YAR047C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAR050W,0.391728835,0.21206069,-1.022826713,-3.041645785,0.464710474,1.233932415,0.21206069,0.757109636,-0.726389297,0.13064124,-0.427923464,0.21206069,0.488542069,-0.132067943,0.21206069,1.035945773
YAR053W,-0.798849859,-0.109568939,0.380075466,1.070770009,-0.109568939,0.380075466,-0.109568939,0.380075466,1.070770009,1.561122547,0.380075466,-1.973555352,-1.973555352,-0.109568939,-0.798849859,0.760121751
YAR060C,0.868436503,0.077608345,-1.088957385,-2.355562061,-1.088957385,0.370071645,1.08455828,0.868436503,0.631721549,-0.253906846,-0.63653385,-0.253906846,1.46748055,-0.63653385,0.077608345,0.868436503
YAR061W,0.866976305,-0.876069082,-0.876069082,0.442056493,-0.876069082,-0.105402111,1.214303999,-0.876069082,0.866976305,-0.876069082,0.442056493,-2.189476573,1.214303999,0.866976305,0.866976305,-0.105402111
YAR062W,0.003482366,0.346116733,0.237138303,-1.953520565,-0.870809353,-1.052439384,0.450458326,0.914436229,0.237138303,1.077955681,-0.870809353,-1.461830351,1.077955681,0.346116733,-0.122260235,1.640870886
YAR064W,-0.548638298,1.350503071,1.019680776,0.352501399,-1.020241773,-2.341057005,-0.548638298,0.89929543,0.773038219,0.640306831,0.773038219,0.640306831,-1.020241773,-0.773716729,-0.548638298,0.352501399
YAR066W,0.024163525,0.551014609,0.595012608,0.986265973,-0.479245862,0.744572575,1.005635279,1.668718968,-0.331589329,0.551014609,-0.571096346,-1.220457798,-1.296820668,-1.495779674,-1.455023177,0.723614708
YAR068W,0.973176093,1.105615367,0.659768055,-0.000985917,-0.215819969,0.418687632,-0.043122399,0.322332654,-1.089638343,0.123057011,-0.753749145,-0.022003758,-0.488270512,-0.395567978,-2.501908922,1.908430131
YAR069C,0.003669225,-0.251283061,-0.251283061,-3.599652981,0.18477965,0.18477965,0.18477965,0.537431477,0.325351754,0.537431477,0.18477965,0.537431477,0.695904742,0.18477965,0.003669225,0.537431477
YAR070C,-0.012847743,-0.012847743,-0.303845566,-3.563453484,-0.303845566,0.486509585,-0.012847743,0.255166496,0.322358877,0.613862588,0.255166496,0.532189281,0.778076659,0.255166496,0.179002085,0.532189281
YAR071W,0.699959487,0.305586113,-0.3033755,-1.808116246,-0.395044772,-0.183889266,1.052248579,1.163998429,-0.038715157,1.074813971,0.003969553,-0.125275781,-1.725275841,-1.183293954,-0.213474821,1.675885206
YAR073W,-0.619493589,-0.448599912,0.216439326,1.639573236,1.032757548,0.890368605,0.840139361,1.055376206,0.042634842,0.637412099,0.323200262,-0.877716444,-0.877716444,-1.605196889,-1.773257337,-0.475920871
YAR075W,-0.857744935,-0.325913485,0.204283611,1.402676201,1.263258167,1.034393981,0.894112402,0.807315257,0.098192293,0.482241568,0.365308115,-0.596792232,-1.849568771,-1.713221176,-0.931155755,-0.27738524
YBL001C,1.136919818,0.703105834,-0.04844027,-0.896121071,-1.831384923,-0.68199466,-0.422937471,-0.404932977,-0.818381462,-0.415719709,-0.976421612,0.309795031,0.637324409,0.598413052,0.942585304,2.168190708
YBL002W,-1.110795252,-0.9508063,-0.826408966,-0.441337862,-0.155621534,0.28403839,0.936710777,1.437562912,1.36627149,1.305247979,0.862232819,0.4942742,0.257253338,-0.739801024,-1.54361048,-1.175210486
YBL003C,-0.981544535,-0.828507817,-1.049011205,-1.214996276,-0.673258549,0.035349354,0.841322627,1.386494348,1.467231519,1.461616593,0.966261442,0.640420727,0.279341022,-0.625699801,-1.110210219,-0.594809229
YBL004W,0.064285596,0.506681999,0.789419839,1.761962798,1.89081589,0.274271202,0.120578506,0.183606652,-0.140931953,-0.048142983,-0.487778417,-1.770189405,-1.694970152,-0.662371413,-0.779348641,-0.007889517
YBL005W,0.224064545,1.551872911,0.975282821,0.237618986,0.196838087,0.251134533,0.627111059,0.475156795,-0.098964169,1.16802494,-0.556619769,-0.752903867,-1.65191725,-1.532162476,-1.754092535,0.639555388
YBL006C,-0.332322661,0.017335567,-0.523512118,-1.352658119,0.483552658,0.641047174,-0.058323651,1.035312039,0.116501905,0.739787697,0.104210907,-0.551418692,-1.941897803,-0.751154822,-0.045635687,2.419175605
YBL007C,1.127841086,0.720780507,-0.388953467,-1.995993279,-2.179356592,-0.058199382,-0.368580403,-0.131072877,-0.539833959,0.41414946,0.190005659,0.120361575,0.755006137,0.38715249,0.252616242,1.694076805
YBL008W,-0.63298298,0.037621225,-0.012834282,0.649163325,0.548567437,0.81878432,1.233610444,1.185421002,0.55458,1.035981418,0.48776346,-0.56218956,-1.225634094,-1.763334695,-1.870005806,-0.484511214
YBL009W,-1.092679549,-0.533124884,-0.451241788,-0.087299626,0.53893564,0.878899078,1.278749477,1.592940737,0.978805701,1.039208485,0.702851453,-0.317250938,-0.918742958,-1.236444593,-1.542093789,-0.831512446
YBL010C,-0.618367197,-0.27132745,-0.386234259,-1.019638373,0.247111532,1.200048689,1.429145356,1.77262487,0.518123944,1.017542185,0.23688395,-0.520233395,-1.556288832,-0.735305039,-1.435697933,0.121611953
YBL011W,-0.977384152,-0.871197978,-1.054246576,-0.414687424,-0.441945849,1.035749005,0.825506087,1.237974936,0.782744049,1.567716507,0.817768398,0.175701395,0.412640173,-0.780006528,-1.96090503,-0.355427012
YBL012C,-0.458112326,-0.910156378,-0.505723056,-0.505723056,-0.458112326,0.812934174,0.912607698,1.626689912,0.846454872,1.599507276,0.029105104,-0.553948056,0.385324211,-0.804872193,-2.167631589,0.151655733
YBL013W,0.753020826,0.541927152,-0.385445166,-1.174147049,-2.563243708,0.258997767,0.374900508,-0.179487316,0.015129592,1.04775855,-1.001701431,-0.918533717,0.595893952,0.952217092,0.541927152,1.140785795
YBL014C,0.41832079,0.786730785,0.929208019,2.438586866,0.824505382,-0.870606259,-0.112136801,0.074473525,-0.549501493,0.273271291,-0.68609704,-1.05504665,-1.694549027,-0.746443191,-0.539960968,0.50924477
YBL015W,-0.793860364,-0.779704062,-0.960804192,-1.800527653,-1.083908818,0.869254546,0.254715857,0.479147739,0.67886784,0.963019496,1.256022428,1.929076868,0.283524318,-0.318314117,-0.602676463,-0.373833424
YBL016W,-1.044854699,-0.420373357,-0.148531917,0.605017695,1.081146218,1.1141429,1.246375849,1.167201116,0.507444484,0.540664298,0.43876211,0.044867956,-1.167885099,-1.671053142,-1.640418434,-0.652505979
YBL017C,0.583870495,0.483306733,-0.351250517,-0.954201925,-1.419730931,-0.10755182,0.635791441,1.426044277,0.475674244,1.283271075,-0.369604349,1.096054259,-0.332970296,-1.839883507,-1.312931125,0.704111946
