Gene name,microarray1,microarray2,microarray3,microarray4,microarray5,microarray6,microarray7,microarray8,microarray9,microarray10,microarray11,microarray12,microarray13,microarray14,microarray15,microarray16,microarray17,microarray18,microarray19,microarray20,microarray21,microarray22,microarray23,microarray24,microarray25,microarray26,microarray27,microarray28,microarray29,microarray30,microarray31,microarray32,microarray33,microarray34,microarray35,microarray36
YAL026C,1.237294759,-0.07475409,-0.414366537,0.976897995,-0.079220054,0.175052873,-0.274379,0.050643096,0.065813287,-1.874224303,-0.816766302,-0.5143591,0.38715505,-0.580016369,-0.198525942,-0.060754308,-1.791255054,1.132893321,-1.024761427,-0.475059558,1.708060562,0.676714499,0.410386343,0.613191535,0.007841894,-3.002952327,-0.231329741,0.118879763,-0.130308199,-0.576021532,-0.777773772,1.594566175,-0.062306177,0.960703146,1.479985908,1.363053582
YAL027W,0.334236362,0.785568469,0.625932532,0.838157273,0.547875752,-0.083290587,0.373654874,-0.239173579,-2.920680687,-0.932351051,-0.378015891,-0.661891849,0.504513166,1.40295716,0.604939953,0.626287097,-0.057049595,0.409794766,-0.669723521,-2.905181701,1.131367393,0.21623536,0.298258875,0.800663332,0.216630084,0.013751886,0.550254669,0.094690174,0.566326376,-0.051175731,-0.097427829,-2.645572918,-0.376928747,0.181398657,0.042212499,0.852756977
YAL028W,-0.278197971,1.116201381,1.089279127,1.045621133,0.925441261,0.614330003,0.937560985,0.62173442,-2.056679745,-1.43398597,-1.257549072,-2.083416978,-0.141835135,1.193554182,1.079688929,0.679695383,0.576101507,0.740019114,0.46147887,-0.725688605,-0.224620588,-0.613736896,-1.294353719,-0.787727124,0.041061989,0.706725668,0.98505586,0.647793751,0.949055119,0.637448143,0.893641897,-0.923796729,-0.826061198,-0.86014478,-1.359680393,-1.074013819
YAL029C,-0.073738858,-1.086729638,-0.740848548,-0.589383007,-0.557675049,-1.271925192,-0.230580301,-0.117058487,0.944380776,-0.886773453,0.514249681,0.339994064,0.006815619,-0.4431573,-0.473838158,-0.701470901,-1.399465387,-0.632680296,-0.986998035,1.90680167,0.353253682,0.262178999,0.646969549,1.465280204,0.666029952,-1.594765127,-0.351404025,-0.517312372,-0.076913957,-0.25750636,-0.037771121,3.259792367,-0.575436583,0.619298365,1.340096677,1.278290547
YAL030W,-0.612473373,0.657744504,1.210785307,1.235191214,0.837132443,0.529407724,0.988626239,0.421970554,-2.787623901,-1.39847734,-0.732385076,-2.254801721,-0.135947067,0.901617812,0.83954664,0.809063709,-0.131324882,0.843046961,0.011970827,-1.143310867,0.371919095,-0.90480447,-0.887603754,-0.566866296,-0.22013015,0.370318494,0.960376157,1.004547179,1.03132502,0.904830066,1.028227671,-0.917561401,-0.20111331,-0.569562293,-0.898094627,-0.595567087
YAL030W,-0.257005506,1.208640066,1.087305833,0.914905147,0.774020342,0.836666139,0.849904072,0.42032009,-3.17962452,-1.252276835,-0.809096383,-2.582267571,-0.092981474,0.717876657,0.870500666,1.007799505,0.303776545,0.509180427,0.104865433,-0.951731076,-0.171037565,-0.845801257,-0.691120761,-0.695012859,-0.554506384,-0.016505047,0.951329992,0.594180425,0.865493019,0.757312581,1.122547308,-0.367040493,-0.055810197,-0.25275497,-0.516672739,-0.605378612
YAL031C,0.590185118,0.506920607,1.41799096,0.46338813,0.473244899,0.375950419,0.750639778,0.389156143,-2.824244314,-0.729064414,0.115634917,-2.218407949,0.829916924,0.164037583,0.666114647,0.549640606,0.183050382,0.363377808,-0.451061388,-1.298347387,1.689661848,-0.52342556,-0.576537316,0.680756486,-0.042705582,1.007086053,0.930531784,-0.098462043,0.146133272,-0.228798647,0.658495189,-2.685043493,0.036329932,-0.517512019,-0.475631821,-0.319001554
YAL032C,0.401459485,1.57664498,1.461136176,-0.304105345,-0.509237353,-0.561958074,0.259795689,0.133710945,-0.410935212,-1.421311971,-0.680865696,-1.875931688,0.625656611,1.16877857,0.835586445,0.804387549,0.800157047,0.110046219,-0.703642485,-0.509777046,1.539662723,-1.08539667,-0.922440283,0.356764886,0.789200149,2.511582524,0.896891731,-0.970063931,-0.281641592,-0.711353583,0.800325741,-0.662992626,-0.579013602,-1.668313393,-0.780768342,-0.432038577
YAL033W,0.463559881,-0.841825617,-0.935073894,-1.551913516,-1.460066903,-1.492893565,-0.980580788,-0.40382675,2.586168399,0.697897375,0.978324491,0.560248855,-0.215211432,-0.889727419,-0.755851697,-0.342171155,0.179107661,-0.725714359,-1.140851835,0.389689642,2.539233526,0.111603879,0.457535069,1.052264723,1.077896013,0.106063536,-0.25926343,-0.982691393,-0.440423575,-0.377623357,-0.211620303,1.125865934,0.202560888,-0.280346147,0.98980312,0.769854141
YAL034C,-0.584569985,0.725376258,1.018179649,0.784805284,1.078225904,1.180617599,1.246829169,0.908122286,-1.417900644,-1.263800612,-0.75019882,-1.508041848,-0.442597097,0.415202392,0.733178779,0.987986233,1.384058635,0.957095904,0.800255897,-0.647144212,-0.206175512,-0.834150358,-1.182738933,-1.102969916,-0.65379331,0.659386048,0.947419901,0.313654706,0.792196578,0.66197323,0.914221139,-0.822163826,-0.424076196,-1.423520357,-1.441087781,-1.803856185
YAL034W-A,0.861381944,0.477711257,0.418322856,-0.167802427,-0.93632759,-1.339416566,-0.677253705,-0.822138648,0.140852223,0.855431237,1.683099752,1.109197294,0.478485706,0.318611235,-1.189558644,-1.437955856,0.334876021,-0.815410215,-1.098303191,-1.091497401,1.651569658,1.35067236,1.208502762,0.24661336,0.587479191,0.722152366,-0.038132921,-1.586383129,-0.686197093,-1.384471086,-0.839540976,-1.60083615,1.063856405,0.837762003,1.095112274,0.269535694
YAL035W,0.036159267,-0.815856936,-0.979032442,-0.336947149,0.044032677,-0.884217362,-0.179673512,-0.15900143,3.061797473,0.307457807,-1.090975299,0.178364776,0.07572067,-0.884846751,-0.645580619,-0.08492163,0.904057309,-0.747734556,-0.196665975,1.899997515,2.812689594,0.284241179,-0.531961083,1.189477014,0.180080701,-1.110921386,-0.681979726,-1.180161142,-0.52971802,-0.884967112,0.254014679,-0.263597561,0.991371125,0.346778432,0.201353771,-0.578834297
YAL036C,-0.916589237,-2.143114113,-0.362672391,-0.312057037,0.036896775,0.012763005,0.788795764,1.078881605,2.509796479,0.142581463,-0.111447329,0.110981093,-0.95141347,-1.90744329,-0.762136748,-0.033531144,0.452210513,-0.040106339,0.600783469,2.370457513,0.774165519,-0.23668007,-0.376708239,0.683750299,-0.886486763,-1.779697202,-0.368188094,-0.487148954,-0.00332859,0.174210337,0.864871558,1.815234331,0.061608374,-0.261926405,-0.186431846,-0.350880837
YAL037W,0.887708063,-0.690279118,-0.353553665,-0.145922919,0.146791803,-0.703126171,0.402684157,-0.554085011,-0.994450901,1.879448047,0.531079846,0.374889681,-0.374203106,-0.484165121,-0.13266105,0.800433158,1.070076693,-0.586233334,-0.469826397,-0.872462873,2.547105231,1.055431957,-0.398746085,1.426466417,0.646131923,-0.802983862,-0.246442727,-1.289962395,0.123183866,-0.513292851,-0.31269602,-2.568552663,1.616753424,0.523005385,-1.284052325,-0.253491058
YAL038W,0.432728126,-0.573434216,-2.029985338,-0.373551731,1.052567465,1.059841006,1.34407943,1.177904548,0.278521375,-0.320714084,0.060751986,0.172596457,-0.510107765,-1.150126793,-2.519060815,-0.35649781,0.935999677,0.733583375,1.423464429,1.189621185,0.758917222,0.035696095,-0.053647299,0.624023605,-0.880173349,-1.265021068,-2.223672131,-0.631341775,0.772851062,0.933193898,0.741633261,-0.442983166,0.144377255,0.377177773,-0.763919752,-0.155292138
YAL039C,0.74419177,0.291257231,-1.004810222,-0.212407862,-0.017383534,-0.516756958,0.253914923,1.525361908,-0.192558823,0.637818599,-0.699841225,-0.769677403,1.281227202,-0.452256508,-0.537566102,-0.823721012,-0.735837433,-1.004128687,-0.298093869,2.195867843,2.40072511,0.20423983,-0.316705801,0.64197384,0.19861774,-0.240926037,-0.534982744,-1.835542948,-1.059400961,-1.315110698,0.085224886,0.768864717,2.316464804,-0.121348843,-0.966615858,0.109923126
YAL040C,-0.107674324,0.018810629,0.149803871,-0.101880053,0.029323813,-0.145545544,-0.257478407,-0.463834638,2.46130155,0.618079511,-0.517293879,-0.134800373,-0.036199409,-0.220216423,-0.04029444,-1.682019101,-1.167246157,-0.945943285,-0.463069931,0.92148835,2.455248426,0.388281086,0.517250603,0.817127265,-0.762608373,-0.514174745,-0.28777193,-1.528464535,-1.173301531,-1.111659435,-0.77942209,1.135472557,2.57688543,0.404863913,-0.149805072,0.096766667
YAL041W,-0.416389753,0.286391579,-0.141863714,0.842482799,0.776026813,1.288593322,1.050249004,0.990220744,-0.111171761,-0.41073471,-0.665089011,0.352846901,-0.180399117,0.150319535,-0.08971361,-1.299174782,-1.579794633,0.285563369,0.749891343,0.824380753,-1.714741353,-0.364242799,-1.312119296,0.432716504,-2.469214934,-2.011303261,0.696857475,1.166555978,1.581584451,1.416373923,-0.456350234,-0.56072665,0.330138029,1.033633923,-0.410024584,-0.061772241
YAL042W,0.824944414,0.634506323,0.323628131,0.059030421,1.211301021,0.02412085,1.101970116,1.065230686,-0.679812204,0.591717191,0.304673789,0.286640262,1.957943554,0.091140773,-1.279956601,-2.927565006,-1.256636509,-1.433912406,-0.237921553,0.508664301,-0.707760209,0.046825285,-0.108167187,-0.345411818,0.239491363,-0.656932712,0.775864744,-1.62569551,-0.534077946,-0.674556834,-0.910935951,-0.735890489,1.05458173,1.465809435,0.591828287,0.95532026
YAL043C,-0.265444523,0.514956915,-0.0138925,0.790711745,1.298291451,1.187511127,1.472125529,0.543644381,-0.427825844,-0.178778732,-1.670125117,-1.47827806,0.916873863,0.623078607,-2.133486709,-0.229938033,-1.710478745,0.043700103,0.568674373,1.426281325,-1.518617935,0.570903119,0.090382384,0.999579009,-0.993887788,-0.272764665,1.345015537,-1.289552826,-0.413233295,-0.348103243,-0.43766645,0.53140326,1.42318532,0.451568745,-0.687424622,-0.728387706
YAL044C,0.681494143,-0.749140333,-1.399365982,-0.712156305,-0.189905193,-0.270872241,0.119405243,0.275092301,0.579519627,1.510115327,-0.295122375,0.455136795,0.596773449,-0.543977398,-2.591635072,-0.964741499,-0.96064739,-0.358267535,-0.125586435,0.521267013,2.700558613,0.389393342,0.13373443,0.754351967,-0.629991459,-0.554825569,-0.689108697,-1.198651865,-0.593342325,-0.233314218,-0.132111684,0.451817915,2.591590325,0.306554382,0.420164357,0.705794347
YAL045C,0.680695905,0.058635353,0.345324914,0.708283883,2.436519845,0.529626675,1.017346808,0.46634174,-0.968250053,-0.074140905,-2.356874353,-0.359706712,1.205779094,1.568743346,-1.963450669,0.015502745,0.784124711,-0.2223569,0.016746364,0.087805162,0.577571523,-0.670640582,-0.227106136,-1.068818521,1.13794945,-0.093310051,0.688154312,-0.935717896,-1.735637773,0.126428328,0.275521755,-0.330262946,0.170075193,0.589628527,-1.044880909,-1.435651227
YAL046C,1.080151078,0.472090044,-0.829289995,-0.231822101,-0.407639366,-0.567156719,-0.39126646,-0.898155325,-1.30874683,0.886337687,-0.079963013,1.097867803,1.832812724,0.501831825,-0.786675235,-1.247150039,-1.563202749,-0.782130364,-0.52812268,-0.379057646,0.599135933,1.185867569,0.908956004,1.243555593,0.738435106,-0.401095289,-0.204018233,-1.155120717,-1.234895993,-0.747768418,-1.386047183,-0.856666438,1.117512155,1.342361677,1.470942887,1.508132707
YAL047C,0.58537101,-0.610508264,-0.331083116,-0.04851339,0.002951377,-0.272725132,1.640950654,0.410680802,-0.142124706,0.180935992,-0.379685059,0.0713843,0.353199067,-0.230550354,-1.619568682,-0.684513005,-1.640278472,-0.461451399,-0.471840606,0.036099971,2.669146601,1.682000164,1.446754883,0.441766527,-0.668557904,-1.238167777,-0.690347095,-1.569532951,-0.711574682,-0.080304183,-1.156337814,-0.774054172,1.364741197,1.203857277,1.22276202,0.469116924
YAL048C,-0.467309702,0.006819636,-1.416242192,0.209450824,1.429969945,1.155164331,1.44297144,-1.850482052,0.232872197,-1.752282321,-2.546580735,-0.952986177,0.556826741,0.294581388,0.942850596,0.904430753,-1.84787697,0.69502846,-0.146407512,0.512356483,1.393248637,0.381234178,0.55674466,0.235089836,0.56057154,-0.722029033,0.006106305,-1.001655527,-0.34226313,-0.078265202,0.816988578,-0.183193405,1.082210439,0.22499428,0.403928258,-0.736865546
YAL049C,0.338138195,0.821276134,0.058156773,0.979344318,1.254114763,0.95608966,0.663131486,0.111094974,-2.668039857,-2.275367997,-2.318735152,-0.623222578,0.212587733,1.071769468,1.034981185,0.453486624,-0.041923996,0.736341557,0.510723908,-0.5597816,-0.387511198,-0.49043632,-0.909624773,-0.66359303,0.103022807,0.194411736,1.319326619,0.868007025,0.881752429,0.97551825,0.477247488,-1.283524346,-0.383279781,-0.354011634,-0.628926673,-0.432544194
YAL051W,0.096437179,0.374252218,-0.807788924,0.696681606,1.631625547,0.977729571,0.851299404,0.787466411,-0.764460382,-2.236025253,-2.920559998,-0.818614929,0.271132771,0.136846865,0.513719678,0.258910613,0.102281829,0.366316677,0.451259042,-1.148602716,2.359853023,0.163566958,-1.168937943,0.203392866,-0.378046883,-1.218059265,0.84498066,0.076040729,-0.191214218,0.565724735,0.438523365,-0.991532505,0.860868251,0.120615746,-0.018686337,-0.486996389
YAL053W,-0.545509565,-0.57623231,0.196885824,0.242648261,0.514979936,0.886731182,1.129320685,1.323753088,1.052824558,-1.752482621,-1.95498612,-0.496264839,0.058077286,-0.519878672,-0.068889599,-0.417091263,-1.081084582,0.173931684,0.422623133,2.02847932,0.502835566,-0.103900182,-0.283355064,0.198398199,-0.993666876,-2.568437717,-0.003970442,-0.192878685,-0.626612958,0.470670864,0.25342741,2.615962054,-0.406926153,0.425454724,0.296008175,-0.2008443
