gene.id	ura3_noglu_OD0.214	ura3_noglu_OD0.641	ura3_noglu_OD1.47	ura3_withglu_OD0.182	ura3_withglu_OD0.291	ura3_withglu_OD0.5	dtrmB_noglu_OD0.042	dtrmB_noglu_OD0.104	dtrmB_noglu_OD0.355	dtrmB_withglu_OD0.222	dtrmB_withglu_OD0.314	dtrmB_withglu_OD0.8
VNG0085G	-0.232165086	0.601384352	-0.410513541	0.221422852	-0.476613032	0.92526352	-1.922103618	-2.606468331	-1.457111521	0.438856309	0.926370005	0.743691287
VNG0086G	-0.363285057	-0.394749673	-0.123370189	0.013956249	-0.630029667	0.941171533	0.184587158	-0.976405778	0.486405854	0.261271052	0.612874619	0.466089964
VNG0089G	-1.082645285	-0.7824639	-0.589725437	-0.760230229	-1.37276635	0.304007264	-1.471160067	-1.230303238	-0.731545524	-0.473463095	0.047571474	0.096041045
VNG0090G	0.101992074	0.005451966	0.268199585	0.192137825	0.414502507	0.476992606	0.321497215	0.451898889	0.533584045	0.025890656	0.435127342	0.315650699
VNG0091C	-1.492218297	-1.469104036	-1.665420091	-1.206777361	-0.391152157	-1.041019803	-2.064241752	-1.175630275	-1.16867505	-1.341388204	-0.437281826	-0.715741969
VNG0094C	-1.186788883	-0.362061446	-0.088092238	-1.283530617	0	0.173819214	-0.730085449	-0.395083483	-0.774973848	-1.32038268	0.097438535	0.05802428
VNG0095G	-0.69065214	0.158050625	-0.082584133	-0.392917512	-0.15679469	-0.229934078	-0.936103106	-0.953704282	-0.477364106	-0.783318541	-0.278458027	-0.138811745
VNG0096C	-1.980620812	-1.012533012	-0.157904787	-2.362446694	-0.181276762	-0.239091423	-1.364393749	-0.310073572	0.072137163	-1.838984013	0.022498441	0.081880748
VNG0097G	-0.765890726	0.059642342	0.377381219	-0.260562759	-0.013379328	0.288767171	0.061945057	-0.166275107	0.933447666	-0.791375685	0.202415735	0.322211645
VNG0098G	0.378841738	0.11417271	-0.053599236	1.360570996	0.124500579	0.278121927	-0.472016407	-0.857410856	-0.968579764	1.136036571	-0.074360403	-0.215787599
VNG0099G	-0.373926662	-0.511683495	-1.107095287	0.34750579	-0.352576579	-0.607864897	-0.407407337	-0.764430592	-0.874966683	-0.085950437	-0.615639109	-0.581925826
VNG0101G	-0.10423062	-0.134275358	-0.29488406	-0.237837175	0.46943389	-0.146096272	-0.235666447	1.185938301	1.386973659	-0.031977067	0.287019	-0.295997248
VNG0102C	-0.873849143	-0.283563735	-0.476856577	-1.105486712	-0.692169449	-0.258118628	-2.239398749	-1.374862218	-0.722826604	-0.716334384	-0.001086269	-0.139507828
VNG0104G	-0.73191002	-0.809565847	-0.586820095	-0.131358969	-0.688765422	-0.14716431	-0.561402182	-0.055149797	0.515293388	-0.768974648	-0.399805465	0.310840521
VNG0105H	-0.637267636	-0.576347095	-0.903522261	0.701794719	-0.295090785	-0.196484048	-1.364393749	-0.736994423	-0.186428081	0.870456582	0.706694857	0.141670591
VNG0106G	0.44793888	-0.014797206	0.473223251	-0.027234084	0.606836139	-0.123130132	1.12442708	0.415559446	-0.420559097	0.054686784	0.03478907	0.131239049
VNG0107G	-0.397657622	-0.320024037	-1.297252633	-0.078010936	-0.469318225	-0.64007733	-0.202292527	-1.890176349	-0.447600685	-0.189679853	0.056137465	-0.243762175
VNG0108G	0.031563676	-0.128571909	-1.871342913	-1.088853186	-0.249093391	-1.488981157	-0.764548027	-1.099828819	-0.908052984	-0.090070202	-0.754217017	-0.949838923
VNG0110C	0.233660475	0.373679717	-0.866725748	-0.192353317	-0.438001801	0.256499668	-1.290990114	-1.374511616	-1.229730147	0.49645161	-0.216730616	-0.638795781
VNG0112H	1.263107898	-0.20434257	-1.198227372	0.543337468	0.27966037	-0.939129904	0.710378147	-1.126090541	-1.714056189	0.045143002	-0.377589846	-0.838794651
VNG0113H	-0.177796472	1.106997367	-0.936328364	0.268383804	-1.153154124	1.024206235	-0.956496423	-1.589348407	-0.786745781	0.017668381	0.115312339	-1.073430782
VNG0115G	0.485227992	0.169142886	0.655275958	-0.348428986	-0.030084628	0.197894043	-0.464744573	-0.715153805	1.001425168	0.347298295	-0.100085921	0.486990037
VNG0116H	0.505065548	0.19592802	-0.130646349	-0.255654141	1.35858246	0.023460521	0.63412916	0.953599849	-0.599815721	-0.680770094	-0.287700746	-0.290536917
VNG0117H	0.39824324	-0.179054129	0.344913013	0.214805596	1.286331457	0.276468656	1.404023142	1.533353083	0.431718448	-0.087725181	0.961212505	0.626826432
VNG0118H	-0.174378922	0.188751761	-0.243223256	-0.291122954	-0.640482954	0.665408145	-1.132639474	0.002160234	0.049995234	-0.19318066	-0.753111002	1.104393245
VNG0119H	-0.267135257	-1.138816036	-1.49255725	-1.008281649	-0.150569273	-0.241273314	-2.082885096	-2.437076604	-1.486715457	-0.741445907	-0.669432903	-0.308320768
VNG0120H	-0.864494713	-1.033531373	-1.560875479	-0.252016516	-0.182399961	-0.574205314	-1.261563994	-1.767297546	-1.132234057	-0.692544485	-0.741841976	-0.583380453
VNG0121H	0.302492112	0.127547904	1.388288542	-0.325364299	0.199265768	1.919145509	0.503824444	-0.238378632	1.114717516	0.396961703	0.41253596	0.219000369
VNG0123G	-1.181773678	-0.802673449	-1.298527792	-1.080656426	-1.180061453	-0.968994804	-1.237851225	-1.527993492	-1.359294173	-1.068691982	-0.84820327	-0.752223868
VNG0124C	-0.359105577	-0.406905642	-0.711983055	-0.85457917	-0.285452923	-0.860679585	0.200075999	-0.580621795	-0.889472173	-0.740639621	-0.349423435	-0.501428293
VNG0125H	-0.730503155	-0.175330681	0.019370788	-0.375361326	-0.721854024	-0.3627826	-0.652831648	-0.355493863	0.255383426	-0.631165027	-0.146485428	0.197363355
VNG0127C	0.016226519	-0.013034029	0.268677774	0.306255935	0.294336653	-0.121383924	-0.258060151	0.270666515	-0.256257151	0.245764381	-0.103266666	-0.286611501
VNG0128C	-0.507405354	-0.665245285	-1.441402937	-0.490633772	-1.77752128	-0.751388403	-0.842550171	-1.16867505	-0.74388909	-0.154878364	-0.945364583	-0.846851053
VNG0129G	-0.112339721	0.095797383	0.446725321	-0.470765032	0.006538113	0.002246976	0.861284345	1.022104102	1.476817658	-0.51438082	0.06791961	0.030762747
VNG0130H	-0.377260866	0.494047472	0.528264792	-0.052201513	-0.153589426	-0.026337169	-0.253571406	0.276883685	0.583847163	0.082915482	0.076370593	0.29889857
VNG0132C	-0.224980782	0.081903994	-1.085461051	0.768191397	0.186203939	0.38455098	-0.226742578	-0.893253444	-0.883272034	0.447674981	-0.385571869	-0.446513793
VNG0133G	-0.402236175	-0.35438207	0.008703019	-0.014706935	-1.046452064	-0.138780261	-0.407407337	-0.832960802	-1.046650448	-0.095340124	-0.126796664	0.071820291
VNG0134G	-0.026718089	-0.774871994	-0.443220116	-0.249245661	-0.593622988	-0.799951455	0.682693254	0.172786965	-0.590530283	-0.429976858	-0.337402166	-0.30336315
VNG0136G	-0.003265123	-0.361811914	-0.455394233	0.513184322	-1.56679532	-0.638448761	-1.149297629	-0.971933637	-0.07665584	0.360209846	-0.303714558	-0.144105726
VNG0137G	-0.621024432	-0.916813292	-1.421973611	-0.617501764	-0.468614265	-0.467709609	0.445471291	-0.710017791	-1.781170472	-0.979973661	-0.396871346	-0.77877249
VNG0138H	0.778954526	0.420607619	0.403339992	-0.121686825	0.745364721	0.563465334	1.145103278	0.812800918	0.514345719	-0.441442642	0.774383289	0.890558257
VNG0139H	1.263651085	1.413843976	-0.245310424	2.400244936	0.991127872	-0.224742458	1.490668589	-0.704810076	-0.912528475	2.036459829	0.929837888	-0.019479918
VNG0140H	0.822380777	0.629512762	-0.822696959	-0.439006436	-0.157096091	0.290510939	0.35369137	-0.015883017	-1.293887227	0.117332124	-0.240807182	0.149013966
VNG0141H	0.638682538	0.170791136	-0.271613909	-0.848145669	0.333486944	-0.64282695	-0.445471291	-0.239312068	0.680672869	0.273837499	-0.192595805	0.118385542
VNG0142C	-1.737152267	-0.123559389	-0.450164146	-1.058673453	-0.239421936	0.033685704	-2.10228182	-2.319323533	-1.594467363	-0.676370681	-0.005524768	-0.190242891
VNG0143H	1.06319541	0.939717183	0.809957286	0.979953195	1.530766855	0.107590102	0.750080473	0.106426058	0.711772878	0.964874273	1.46504602	1.649555997
VNG0144H	-0.497272564	-0.994850672	-1.479471964	-1.213887936	-1.519652028	-1.092592958	-2.239398749	-1.353468178	-0.129573106	-0.529246979	-1.589762089	-0.69827856
VNG0146H	0.110011081	0.38765033	0.668680277	0.119700466	0.455856498	1.118091342	-0.186797053	0.121891528	0.786659141	0.739523113	1.260210842	1.117515793
VNG0147C	-0.507155643	-0.44825945	-0.663359804	-0.670286877	-0.442310134	-0.243524096	-0.018464082	-0.652283722	-1.224779528	-0.805591962	-0.602402098	0.245956935
VNG0148H	0.63918421	1.579231502	1.288979356	-0.136726244	1.071990369	0.573475721	1.179242669	0.392176807	0.804420488	-0.086166017	1.209038751	0.726299393
VNG0149G	0.306836961	-1.445615706	-1.607047008	-0.62184491	-1.357010572	-0.813311991	0.287368529	-1.525199098	-1.641806076	-1.615925259	-1.623525931	-0.285282681
VNG0150H	-0.619607967	-0.558976474	-0.237805664	0.123717954	-0.403932864	-0.562596045	-0.138369998	-0.21674108	-0.298307674	-0.212964037	-0.351473808	-0.730426152
VNG0151C	-0.911147387	-0.880438515	-0.965925458	-0.37079956	-1.083019867	-1.078997392	-0.138369998	-0.201845161	-0.421281714	-1.033289527	-1.002474614	-0.935039246
VNG0152G	-0.179157498	-0.144483683	-0.395654887	-0.191489561	-0.279903702	-0.880142618	-0.048892207	-0.731261949	-0.682370571	-0.162399435	-0.358682755	-0.535250687
VNG0153C	0.3946547	0.931443275	0.735399645	0.687294314	0.737313219	0.416018438	-0.551259488	0.331385577	1.329978013	0.538333227	0.686844078	0.344393777
VNG0154G	0.368600153	-0.181599347	0.385202738	-0.647424772	0.459869751	-0.416076434	-1.337347645	0.152933836	1.096917723	-0.648812624	-0.402875308	0.088337932
VNG0156C	0.145659177	0.837217012	0.616251695	-0.228995824	-0.05739271	0.431335203	0.579292714	0.006516722	0.764028958	0.102495079	0.202419895	0.407338132
VNG0157G	-0.035270396	-0.227153999	-0.439795727	-1.036031258	0.243184377	0.753082911	-0.493984455	-0.827397349	-0.180338902	-0.127108091	0.09460418	-0.176877158
VNG0158G	-0.583832563	-0.885344624	-1.435712629	-0.033388888	-0.611520332	-0.232475446	-0.464744573	0.122663503	0.211638754	-0.038295292	-0.939728527	-0.446550089
VNG0159G	-0.179569708	-0.069838414	-0.785749353	-0.607951115	0.57421045	-0.176613973	1.681215981	-0.395249227	1.080835882	0.119755802	-0.238880642	0.323452147
VNG0160G	-0.192184866	1.146991586	-1.08320166	-0.730925574	-0.9515637	-0.806826781	-2.361573308	-0.939004363	0.444436209	-0.814888681	-0.343020933	-0.935495374
VNG0161G	1.089218822	0.872036334	0.403054107	0.451763166	0.712243934	0.623803932	0.294166276	1.070040356	1.515306268	0.113843949	0.477240093	0.173040304
VNG0162G	1.160592295	0.86358395	0.222015956	0.41239957	0.858792838	0.622852951	0.105543518	0.853451434	1.391711617	0.08048837	0.417311066	0.021097175
VNG0163G	0.490151982	0.839765814	-0.910980138	1.125550855	0.591724468	0.326668224	0.994956615	-0.155010276	-0.593338334	1.107001242	0.845188465	0.014700319
VNG0164G	1.180755633	2.226450161	0.59427429	1.763263233	1.541055167	1.034584208	-1.477600534	-1.85388909	-1.07405378	2.319323533	1.966722847	1.714425602
VNG0166G	-0.173680753	-0.243957707	0.415345821	-0.412482341	0.473826898	-0.192791284	0.376911778	-0.113843949	-0.156197356	-0.398347931	-0.094701368	0.023966941
VNG0167H	-0.39566674	-0.102750428	-0.482701567	-0.235100544	-0.121336172	-0.140676133	-0.589599373	0.109596005	-0.520622048	-0.249933853	-0.480752501	0.210161261
VNG0168H	2.189419075	2.054425287	1.330824459	2.124324131	1.837557763	1.591803909	0.162535872	-0.297833024	-0.858058362	2.103044314	1.853364349	1.397916997
VNG0170C	2.124797505	2.846092948	2.423240884	2.299302875	2.29373119	1.989937715	0.001086061	0.711369442	0.398851975	2.390014252	2.639192657	1.962113045
VNG0171C	-0.408599347	1.253721159	1.521069247	0.666900135	0.861816425	0.180868323	-0.258060151	0.125449499	1.103381067	-0.309497319	1.441976184	0.203320407
VNG0172G	-0.146940798	-0.081937317	-0.995718052	-0.60979215	-0.876474499	-0.484479225	-1.053683753	-0.976938862	-1.519094221	-1.034026223	-0.708243635	0.123376695
VNG0174G	0.90364029	0.852273261	0.622733665	0.087634969	0.551206823	0.11075938	1.132639474	-0.268677774	-0.956882237	0.537125717	0.522764277	0.250929405
VNG0175G	0.487140572	1.136282617	0.810630082	0.410241702	-0.058757773	0.047348134	0.435896793	-1.000330224	-1.286859762	0.538876468	0.574960569	0.284643291
VNG0176H	0.903461351	1.474287088	1.522141115	0.055422173	1.145856345	0.817528632	0.177962831	0.108375334	-0.097047162	0.960691525	0.964571268	0.895272274
VNG0177G	0.103062278	-0.536474074	-0.628719083	0.470129363	-0.611825291	-0.54485384	0.294166276	0.075117211	-1.064185331	0.204527021	-0.480509337	-0.420211834
VNG0178H	0.710454756	-0.256256922	-0.597093126	0.391979721	0.39736544	0.485110417	-1.061282525	0.008799955	0.264404773	0.350594234	0.125587796	-0.134599113
VNG0179C	-0.269114086	-0.191104131	-0.027724983	0.22570214	0.009169917	-0.064673999	0.018464082	0.045909163	-1.162575801	0.024986478	0.217629469	0.119132431
VNG0180G	0.947611379	0.762026096	0.663709349	0.872518544	0.680235343	0.450933305	-0.457497232	0.404916681	0.898380642	0.832700897	0.609734441	0.399672163
VNG0181G	0	-0.328430477	-1.222137212	0.581332235	-0.648482493	-0.730545545	-2.361573308	-1.658032812	0.422918027	-1.44002392	-1.181558824	-0.388136278
VNG0183G	0.288873645	-0.197744074	0.127159301	-0.245648763	0.336812484	-0.061053831	0.623541191	0.869463186	1.241492482	-0.304840501	-0.237996868	0.132749212
VNG0184H	-0.13558056	-0.356007821	-0.253358136	-0.532082086	-0.630682353	-0.403427129	-0.785075997	-1.395235239	-1.424808051	-0.086258119	-0.506783089	-0.364365939
VNG0186G	-0.389822833	-1.170623176	-1.065211648	-0.364897523	-1.073646261	-1.289752494	0.916091859	1.134249268	0.624213052	-0.128508078	-1.38778927	-0.712040556
VNG0187H	-0.409326625	-1.256011657	-1.326555245	-0.74610406	-1.114827649	-0.824102428	-0.773305805	-1.71540245	-1.424077373	-1.272503997	-1.232536935	-0.937411042
VNG0188H	1.010850597	0.790407984	0.696317875	-0.269233147	0.900215745	0.958725392	0.416865992	-0.170391578	1.047652658	1.056639346	1.058070656	0.045459704
VNG0189C	-0.966654665	0.793965094	-0.729576046	-0.449685364	-1.454617199	0.133107182	-1.096263209	-0.844455834	-0.272914511	-0.761757352	0.671449391	0.295602024
VNG0190C	0.420472592	-0.857640257	-0.791211624	-0.213922557	-0.59642722	-0.744339944	0.472016407	-1.635718276	-0.876547972	0.340878183	-0.512021845	-1.0743409
